image_file,label,x_center,y_center,width,height,in_danger_zone
dataset\frames_video1\video1_stone_crusher_frame_0000.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0001.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0002.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0003.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0004.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0005.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0006.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0007.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0008.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0009.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0010.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0011.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0012.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0013.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0014.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0015.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0016.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0017.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0018.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0019.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0020.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0021.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0022.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0023.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0024.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0025.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0026.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0027.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0028.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0029.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0030.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0031.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0032.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0033.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0034.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0035.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0036.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0037.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0038.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0039.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0040.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0041.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0042.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0043.jpg,person,,,,,
dataset\frames_video1\video1_stone_crusher_frame_0044.jpg,person,,,,,
